StudentID,InMotif_1,InMotif_2,InMotif_3,SelfEff_1,SelfEff_2,SelfEff_3,Teacher_1,Teacher_2,Teacher_3,ExMotif_1,ExMotif_2,ExMotif_3,Gender,NumBook,NumDevice,EdMother,EdFather,Region
142,-0.1562,0.714,0.0034,0.5788,0.6932,-1.072,0.4321,0.1023,-0.5504,-0.8511,-0.9363,-3.0814,2,5,5,3,3,TWN
143,1.8209,-1.1108,-1.3359,-0.7169,0.0044,-0.6548,1.4508,0.8212,-0.17,5.0249,0.5778,0.5952,2,5,5,4,4,TWN
144,1.5138,-0.4642,0.125,0.8357,-0.4081,-0.0933,-1.6666,0.0509,-0.2602,0.9546,0.1142,-0.3065,2,1,4,8,8,TWN
145,0.5551,1.2925,0.0902,0.537,0.4798,1.048,-2.2669,-0.7613,0.3101,-1.6679,-0.0487,0.0147,1,4,4,3,3,TWN
146,-1.1065,0.1747,0.0195,-0.3796,0.6184,0.3482,1.2503,-0.5301,0.0382,-0.0274,0.8408,-0.1742,2,3,3,4,4,TWN
147,-3.6801,0.793,-0.1513,-0.761,-1.346,1.0199,-0.0664,0.6354,1.1765,-0.6751,-1.4501,0.2135,2,1,3,3,6,TWN
148,2.7965,0.5817,0.1618,-3.2755,0.4325,0.2749,-4.1634,-0.2918,-0.3892,0.958,-0.5062,0.6067,2,2,5,2,2,TWN
149,-1.9923,0.6499,-0.5926,-1.9815,-0.4465,-0.163,0.4467,-0.1898,1.8323,-1.0096,1.165,1.0482,2,3,4,6,6,TWN
150,0.4365,1.38,-0.4017,0.2025,-0.0608,-0.6731,-3.0079,1.0569,-0.707,0.3444,1.4641,0.9259,2,2,5,6,3,TWN
151,1.5138,-0.4642,0.125,2.1377,0.1848,0.0931,-1.6278,0.8765,1.4516,1.9836,1.1181,0.9663,2,1,4,2,2,TWN
152,-1.8201,-0.0668,-0.4578,0.9086,-0.3134,-1.3541,1.5324,0.7809,-0.665,1.4822,-1.1788,1.3072,2,3,5,6,7,TWN
153,2.1027,0.2721,-0.0079,1.4258,-0.9868,-1.2754,-2.2777,1.0251,0.8748,2.3567,-0.7218,0.1794,2,2,5,8,8,TWN
154,4.2417,-0.3673,0.7734,1.4998,-1.3522,-0.0688,-4.2818,0.9145,0.178,4.3781,-0.48,0.0059,1,4,5,4,6,TWN
155,1.5266,0.8496,-0.5812,4.9293,-1.0268,0.4936,-1.8862,2.1027,-2.3757,0.9747,0.8094,0.2235,2,3,4,3,3,TWN
156,1.0876,0.7445,1.1722,-1.0814,-0.5861,-0.032,-3.6821,0.0248,-0.2006,0.6084,-0.9226,0.9235,1,5,3,8,8,TWN
157,1.0598,-1.3306,-0.9409,-1.7283,0.6039,0.0679,-2.8329,-0.5671,0.3107,-0.7729,-0.2406,-0.4333,1,1,3,3,3,TWN
158,0.3793,0.6652,0.0822,-1.3605,0.4527,-1.0659,0.38,0.8692,1.1017,2.023,0.8804,0.8783,1,4,4,6,4,TWN
159,0.1865,1.2952,-0.7029,-0.1339,0.2737,-0.8892,-2.2397,-0.0747,1.0405,2.0065,0.3487,-0.0568,2,1,4,3,3,TWN
160,-4.3683,0.5507,-0.1246,-3.2755,0.4325,0.2749,3.6828,-0.2451,0.2457,-3.0207,0.8877,-0.0923,2,1,3,3,4,TWN
161,1.1574,-0.5459,0.1514,1.7586,-0.5114,0.6087,-1.0103,0.5349,0.1532,1.9895,0.3773,0.1767,2,3,2,3,3,TWN
162,2.8497,-0.8051,-1.0358,2.7767,0.6023,0.2925,-1.2403,-1.5825,-1.8913,-2.3919,-0.6361,0.6666,2,3,2,3,8,TWN
163,1.1693,-0.4723,-0.7935,-3.2755,0.4325,0.2749,0.7432,-0.7557,-0.2129,0.7162,-1.6113,0.3683,1,3,2,4,4,TWN
164,4.0985,-1.0533,0.2763,4.3326,-0.5571,-0.3287,-3.4039,1.0755,1.6576,4.3301,1.1708,0.7574,1,1,3,3,2,TWN
165,1.5776,0.4741,0.2762,4.3401,0.3016,-0.7673,3.4822,-1.6359,-0.6416,0.9247,-1.4253,-1.3664,2,2,4,6,7,TWN
166,-3.6213,-0.5265,-1.1525,-1.9873,-0.4993,-1.4274,0.3645,0.849,1.1404,1.4275,-0.875,2.1845,2,5,5,7,6,TWN
167,-3.566,-0.6712,-0.1809,-2.6311,0.6034,-0.0803,1.5154,0.2064,0.4436,-1.3777,-0.6349,0.7493,1,2,4,3,8,TWN
